Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curva,alpha_fuzzy,radio_curva
L,40,28.50,24.90,0.00,0.00,-0.03,0.00,-0.03,112.59,0.36,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,28.90,24.90,0.00,-0.00,0.02,0.00,0.09,-91.35,0.14,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,25.80,24.90,0.00,0.12,-0.03,0.00,-3.07,140.77,1.16,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,12.90,13.10,0.12,0.00,-0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,30.00,24.90,0.00,-0.11,-0.03,0.00,2.76,111.99,1.49,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,29.40,24.90,0.00,-0.01,-0.03,0.00,0.78,74.87,0.80,0.99,0.19
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,29.30,24.90,0.00,-0.03,0.02,0.00,1.39,-121.70,4.06,0.99,0.19
L,40,29.50,24.90,0.00,0.02,0.02,0.00,0.41,-49.94,2.06,0.99,0.19
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,13.30,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,26.30,24.90,0.00,0.04,-0.03,0.00,-0.93,106.69,2.24,0.99,0.19
L,40,29.20,24.90,0.00,0.10,0.02,0.00,-2.70,-90.63,1.12,0.99,0.19
S,40,13.10,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
S,40,13.40,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,27.00,24.90,20.00,0.03,0.02,0.00,521.33,-88.27,0.82,0.99,0.19
L,40,28.80,24.90,20.00,1.80,-0.04,0.00,591.36,162.91,0.94,0.99,0.07
S,40,13.20,13.10,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,25.30,24.90,20.00,6.03,-0.04,0.00,586.64,86.89,2.67,0.99,0.00
S,40,13.90,13.10,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.01
L,40,31.00,24.90,20.00,10.51,-0.09,0.00,550.81,298.35,2.52,0.99,0.03
S,40,14.60,13.10,4.72,0.00,0.00,4.62,123.21,-1.15,0.00,0.99,0.01
L,40,27.70,24.90,20.00,14.07,0.03,0.00,512.98,-218.07,8.61,0.99,0.04
S,40,15.20,13.10,6.67,0.41,0.00,6.59,191.02,-2.46,0.18,0.99,0.02
L,40,26.70,24.90,20.00,16.70,0.06,0.00,478.90,-162.21,15.08,0.99,0.02
S,40,15.80,13.10,8.67,1.41,-0.00,8.60,253.30,3.30,0.25,0.99,0.00
L,40,25.00,24.90,20.00,17.50,0.03,0.00,477.07,-2.76,4.79,0.99,0.03
S,40,16.30,13.10,10.40,2.67,0.00,10.35,307.87,-1.84,0.06,0.99,0.00
L,40,28.50,24.90,20.00,17.69,-0.03,0.00,486.55,155.21,4.94,0.99,0.03
S,40,17.00,13.10,12.78,4.50,-0.00,12.75,367.06,2.82,0.06,0.99,0.00
L,40,30.30,24.90,20.00,17.69,-0.03,0.00,500.08,67.89,5.72,0.99,0.00
S,40,17.60,13.10,14.90,6.33,-0.00,14.90,422.94,7.47,0.05,0.99,0.00
L,40,31.50,24.90,20.00,17.83,0.03,0.00,509.77,-146.85,0.27,0.99,0.02
S,40,17.30,13.10,14.33,8.33,-0.00,14.32,405.48,-1.35,0.32,0.99,0.00
S,40,17.80,13.10,16.12,10.76,0.00,16.15,423.68,-5.59,0.91,0.97,0.00
L,40,28.80,24.90,20.00,17.84,0.06,0.00,522.14,-166.76,0.14,0.99,0.02
L,40,25.30,24.90,20.00,18.53,0.03,0.00,516.79,-31.29,7.60,0.99,0.04
S,41,17.90,13.10,16.77,14.42,0.00,16.80,376.66,-9.48,0.69,0.98,0.00
L,40,27.90,24.90,20.00,18.39,0.03,0.00,528.97,-63.66,12.48,0.99,0.03
S,40,18.00,13.10,17.45,13.69,0.00,17.47,426.94,-9.48,0.21,0.99,0.00
L,40,27.60,24.90,20.00,18.85,0.03,0.00,526.36,-67.41,13.24,0.99,0.03
S,40,18.20,13.10,18.40,14.43,0.00,18.45,454.58,-8.08,0.54,0.99,0.00
S,40,18.40,13.10,19.22,15.27,0.00,19.36,476.99,-8.15,1.20,0.97,0.00
L,40,29.90,24.90,20.00,18.91,0.03,0.00,531.44,-89.40,13.19,0.99,0.03
L,40,26.90,24.90,20.00,18.90,0.03,0.00,538.09,-91.63,13.75,0.99,0.03
S,40,18.40,13.10,19.47,15.78,0.00,19.65,493.25,-6.02,1.37,0.96,0.00
L,40,27.80,24.90,20.00,19.15,0.03,0.00,537.99,-94.59,14.45,0.99,0.03
S,40,18.80,13.10,21.02,16.01,0.00,21.20,549.11,-5.38,1.13,0.97,0.00
L,40,28.50,24.90,20.00,19.46,0.06,0.00,534.67,-198.07,15.27,0.99,0.03
S,40,18.70,13.10,21.01,17.07,0.00,21.21,550.23,-7.61,1.23,0.97,0.00
L,40,28.20,24.90,20.00,19.35,0.06,0.00,540.67,-166.09,17.15,0.99,0.05
S,40,18.70,13.10,21.24,18.01,0.00,21.49,554.54,-3.70,1.45,0.96,0.00
L,40,28.60,24.90,20.00,19.45,0.03,0.00,541.99,-74.17,21.51,0.99,0.06
S,40,18.90,13.10,22.17,19.02,-0.00,22.40,571.32,2.41,1.24,0.97,0.00
L,40,30.20,24.90,20.00,19.73,-0.03,0.00,537.78,91.61,24.20,0.99,0.05
S,41,19.00,13.10,23.01,19.80,-0.00,23.12,591.58,-3.41,0.62,0.99,0.00
L,40,35.30,24.90,20.00,19.87,0.02,0.00,535.62,-189.49,21.43,0.99,0.04
S,40,18.80,13.10,22.84,19.98,-0.00,22.92,601.11,-0.49,0.50,0.99,0.00
L,40,33.80,24.90,20.00,19.74,0.03,0.00,539.79,-125.82,15.79,0.99,0.03
S,40,19.10,13.10,24.13,20.55,-0.00,24.23,636.45,0.20,0.54,0.99,0.00
L,40,36.30,24.90,20.00,19.77,0.03,0.00,540.46,-120.65,18.75,0.99,0.04
S,40,19.10,13.10,24.55,21.25,-0.00,24.65,650.01,2.68,0.50,0.99,0.00
L,40,38.40,24.90,20.00,19.64,0.03,0.00,545.32,-120.91,20.41,0.99,0.04
S,40,18.60,13.10,23.44,22.07,-0.00,23.52,618.94,6.03,0.38,0.99,0.00
L,40,41.40,24.90,20.00,19.73,-0.03,0.00,545.02,86.26,21.63,0.99,0.04
S,40,18.50,13.10,23.50,22.52,-0.00,23.59,616.75,5.58,0.03,0.99,0.00
S,40,18.50,13.10,23.86,22.79,-0.00,23.95,624.62,-0.68,0.23,0.99,0.00
L,40,44.10,24.90,20.00,19.72,0.03,0.00,546.87,-211.52,18.61,0.99,0.04
L,40,45.60,24.90,20.00,19.78,0.03,0.00,546.88,-142.36,14.41,0.99,0.03
S,40,18.20,13.10,23.29,22.91,-0.00,23.38,612.99,3.64,0.26,0.99,0.00
L,40,42.80,24.90,20.00,19.93,0.03,0.00,544.24,-131.95,17.79,0.99,0.03
S,40,18.00,13.10,22.86,23.24,-0.00,23.01,595.20,2.08,0.71,0.98,0.00
L,40,43.80,24.90,20.00,20.14,0.03,0.00,539.15,-140.03,20.80,0.99,0.04
S,40,18.20,13.10,23.80,23.06,-0.00,23.91,622.26,0.45,0.55,0.99,0.00
L,40,43.80,24.90,20.00,20.24,0.02,0.00,535.69,-137.30,22.50,0.99,0.04
S,41,18.20,13.10,23.94,23.01,0.00,24.14,631.58,-7.44,0.82,0.98,0.00
L,40,41.00,24.90,20.00,19.96,-0.04,0.00,541.54,78.20,23.67,0.99,0.04
S,40,18.10,13.10,24.05,23.50,-0.00,24.15,627.09,7.44,0.26,0.99,0.00
L,40,38.20,24.90,20.00,19.97,-0.04,0.00,541.60,-1.45,22.66,0.99,0.05
S,40,18.50,13.10,25.59,23.48,-0.00,25.69,671.00,13.05,0.27,0.99,0.00
L,40,36.00,24.90,20.00,19.97,-0.03,0.00,541.75,-25.62,15.80,0.99,0.01
S,40,18.80,13.10,26.84,24.00,-0.01,26.96,702.37,12.78,0.43,0.99,0.00
L,40,35.30,24.90,20.00,19.94,0.03,0.00,542.79,-221.14,11.17,0.99,0.01
S,40,18.60,13.10,26.07,25.58,-0.01,26.46,657.43,23.63,1.26,0.97,0.00
L,40,35.20,24.90,20.00,19.94,-0.03,0.00,543.14,59.91,10.63,0.99,0.03
S,40,19.60,13.10,28.66,25.64,-0.01,29.44,726.23,24.03,2.05,0.95,0.00
L,40,32.80,24.90,20.00,20.04,0.03,0.00,540.74,-220.94,14.94,0.99,0.03
S,40,19.90,13.10,28.89,26.33,-0.01,30.09,731.79,24.99,2.81,0.92,0.01
L,40,31.20,24.90,20.00,19.85,0.03,0.00,545.51,-137.08,14.05,0.99,0.03
S,40,19.60,13.10,27.63,26.95,-0.01,28.85,697.50,19.53,3.06,0.91,0.00
L,40,29.70,24.90,20.00,19.86,0.03,0.00,546.09,-154.29,18.16,0.99,0.05
S,40,19.70,13.10,26.72,27.17,-0.06,28.47,672.19,200.49,4.09,0.87,0.01
L,40,27.50,24.90,20.00,19.90,0.03,0.00,545.90,-156.36,21.29,0.99,0.05
S,40,19.50,13.10,22.42,27.04,-0.00,25.71,560.62,-64.57,6.93,0.69,0.02
L,40,26.50,24.90,20.00,19.93,0.03,0.00,545.78,-146.10,23.65,0.99,0.05
S,40,19.20,13.10,18.56,25.97,0.01,22.07,460.81,-35.81,11.72,0.50,0.02
L,40,26.60,24.90,20.00,20.00,-0.03,0.00,544.32,39.72,25.33,0.99,0.05
S,40,19.90,13.10,20.82,23.61,0.02,23.52,538.25,-41.98,7.02,0.68,0.01
L,40,25.80,24.90,20.00,19.66,-0.03,0.00,553.11,-36.63,22.40,0.99,0.04
S,40,19.50,13.10,22.06,21.65,0.07,22.60,605.62,-214.32,2.59,0.93,0.00
L,40,25.50,24.90,20.00,19.96,0.03,0.00,547.41,-238.89,17.37,0.99,0.03
S,40,18.60,13.10,19.72,20.81,0.07,20.09,568.92,-167.13,2.64,0.93,0.01
L,40,25.00,24.90,20.00,20.06,0.03,0.00,544.91,-150.26,17.68,0.99,0.03
S,40,18.80,13.10,17.57,21.26,0.07,19.57,494.59,-166.04,12.76,0.56,0.03
L,40,25.10,24.90,20.00,20.70,0.03,0.00,527.90,-152.51,22.01,0.99,0.04
S,40,20.80,13.10,19.86,20.97,0.02,24.93,540.49,6.58,20.22,0.49,0.03
L,40,26.10,24.90,20.00,20.80,-0.03,0.00,521.22,61.10,24.71,0.99,0.05
S,40,20.50,13.10,19.39,20.44,0.02,23.71,535.67,-69.10,21.79,0.50,0.03
L,40,26.40,24.90,20.00,19.81,-0.04,0.00,542.39,-11.95,23.28,0.99,0.04
S,40,19.50,13.10,17.75,20.15,0.07,20.47,494.40,-264.41,17.09,0.50,0.02
L,40,25.80,24.90,20.00,19.73,-0.03,0.00,545.60,-29.01,16.54,0.99,0.03
S,40,19.30,13.10,17.38,19.80,0.07,19.74,479.93,-212.02,16.24,0.50,0.04
L,40,25.60,24.90,20.00,19.67,0.03,0.00,548.80,-231.42,11.88,0.99,0.02
S,40,17.60,13.10,14.77,19.30,0.02,14.68,410.60,-21.58,22.26,0.72,0.06
L,40,24.90,24.90,20.00,19.68,0.03,0.00,550.52,-149.86,11.46,0.99,0.03
S,40,17.20,13.10,13.86,18.12,0.01,13.55,391.40,-88.88,25.28,0.78,0.06
L,40,26.10,24.90,20.00,19.84,-0.03,0.00,548.14,61.59,17.54,0.99,0.04
S,40,17.20,13.10,13.92,16.76,0.02,13.57,403.85,-100.21,21.03,0.75,0.04
L,40,26.20,24.90,20.00,20.07,0.03,0.00,542.95,-231.50,19.56,0.99,0.03
S,40,18.60,13.10,16.60,15.65,0.01,17.70,486.29,-99.42,18.37,0.59,0.04
L,40,26.20,24.90,20.00,20.13,0.03,0.00,541.09,-151.53,17.19,0.99,0.04
S,40,20.10,13.10,18.60,15.28,0.01,22.16,553.80,-100.03,17.18,0.50,0.04
L,40,27.20,24.90,20.00,20.15,-0.03,0.00,539.86,50.59,20.78,0.99,0.05
S,41,20.00,13.10,18.45,15.88,0.08,21.85,553.84,-351.34,16.80,0.50,0.04
L,40,28.00,24.90,20.00,20.27,-0.03,0.00,535.72,-14.97,21.92,0.99,0.03
S,40,22.60,13.10,21.89,17.35,0.01,29.80,620.06,4.52,19.52,0.47,0.06
L,40,27.30,24.90,20.00,20.22,0.03,0.00,535.50,-231.92,17.08,0.99,0.02
S,41,24.90,13.10,23.70,19.10,-0.00,35.00,648.97,-71.83,27.35,0.44,0.05
S,41,25.40,13.10,23.25,23.18,-0.00,35.00,557.21,-88.95,21.15,0.41,0.03
L,40,27.00,24.90,20.00,19.92,0.03,0.00,542.17,-158.72,14.58,0.99,0.04
L,40,27.20,24.90,20.00,19.61,0.03,0.00,550.68,-147.00,20.94,0.99,0.05
S,40,26.20,13.10,22.39,22.56,-0.00,35.00,551.52,-87.29,17.67,0.37,0.03
L,40,27.70,24.90,20.00,20.00,-0.03,0.00,542.87,58.23,23.52,0.99,0.05
S,40,28.20,13.10,16.24,21.54,0.00,35.00,416.43,-92.30,16.54,0.06,0.03
L,40,28.10,24.90,20.00,19.83,-0.03,0.00,547.17,-21.77,21.32,0.99,0.03
S,40,30.00,13.10,16.23,19.89,0.00,35.00,428.38,-92.59,16.09,0.06,0.03
L,40,29.90,24.90,20.00,20.70,0.03,0.00,525.48,-235.34,15.33,0.99,0.01
S,40,31.10,13.10,16.23,17.95,0.00,35.00,457.86,-92.90,16.00,0.06,0.03
L,40,29.10,24.90,20.00,19.68,0.03,0.00,548.14,-157.15,14.65,0.99,0.04
S,40,35.00,13.10,16.23,17.62,0.00,35.00,456.55,-98.27,15.75,0.06,0.03
L,40,29.70,24.90,20.00,19.80,0.02,0.00,546.68,-140.17,19.81,0.99,0.05
S,40,35.60,13.10,16.24,16.93,0.00,35.00,466.65,-94.83,15.59,0.06,0.03
L,40,43.80,24.90,20.00,20.08,-0.04,0.00,540.57,64.76,22.97,0.99,0.05
S,40,35.90,13.10,16.24,16.92,0.00,35.00,462.80,-94.75,15.46,0.06,0.03
L,40,52.40,24.90,20.00,20.21,0.02,0.00,536.66,-214.85,22.65,0.99,0.03
S,40,35.70,13.10,16.24,16.74,-0.05,35.00,463.70,98.02,15.24,0.06,0.03
L,40,55.70,24.90,20.00,20.13,0.02,0.00,537.64,-138.02,18.11,0.99,0.03
S,40,36.10,13.10,16.28,16.56,0.00,35.00,466.54,-171.17,13.57,0.06,0.03
L,40,59.40,24.90,20.00,19.87,-0.04,0.00,543.53,62.18,20.32,0.99,0.05
S,40,35.60,13.10,16.41,16.45,0.01,35.00,471.21,-117.16,9.43,0.07,0.02
L,40,58.20,24.90,20.00,19.92,0.02,0.00,543.18,-214.60,20.51,0.99,0.03
S,40,35.20,13.10,16.31,17.00,0.01,35.00,454.02,-102.85,12.42,0.07,0.03
L,40,58.80,24.90,20.00,19.96,0.02,0.00,542.59,-144.75,17.09,0.99,0.03
S,40,34.50,13.10,16.26,16.88,0.01,35.00,451.56,-98.26,14.66,0.06,0.03
L,40,58.10,24.90,20.00,19.99,0.02,0.00,542.03,-139.83,20.03,0.99,0.04
S,40,32.30,13.10,16.23,15.61,0.00,35.00,480.59,-94.48,15.96,0.06,0.04
L,40,56.40,24.90,20.00,20.07,-0.04,0.00,539.92,69.75,22.58,0.99,0.05
S,40,31.40,13.10,16.24,16.64,0.00,35.00,457.56,-92.10,16.49,0.06,0.04
L,40,57.40,24.90,20.00,20.00,-0.08,0.00,541.25,137.09,22.03,0.99,0.03
S,40,30.80,13.10,16.24,16.68,0.00,35.00,454.11,-95.00,16.70,0.06,0.04
L,40,55.70,24.90,20.00,19.63,0.02,0.00,550.96,-293.58,10.01,0.99,0.01
S,40,29.50,13.10,16.24,16.53,0.00,35.00,455.47,-97.77,16.46,0.06,0.04
L,40,56.90,24.90,20.00,19.69,0.06,0.00,551.66,-275.92,9.69,0.99,0.04
S,40,29.00,13.10,16.24,16.35,0.00,35.00,458.63,-97.43,16.63,0.06,0.04
L,40,55.50,24.90,20.00,19.93,-0.07,0.00,547.12,236.09,18.66,0.99,0.07
S,40,28.00,13.10,17.13,16.47,0.00,35.00,478.06,-96.87,16.65,0.11,0.04
L,40,55.50,24.90,20.00,19.99,-0.07,0.00,545.95,54.51,18.58,0.99,0.00
S,40,27.40,13.10,20.08,16.69,0.00,35.00,553.22,-100.48,17.16,0.25,0.04
L,40,54.80,24.90,20.00,20.34,0.09,0.00,536.87,-496.16,8.64,0.99,0.01
S,40,26.90,13.10,21.19,17.18,0.00,35.00,589.21,-100.11,17.20,0.31,0.04
L,40,54.80,24.90,20.00,19.96,0.15,0.00,544.95,-512.51,9.59,0.99,0.07
S,40,26.30,13.10,21.99,18.44,0.01,35.00,600.41,-105.53,17.61,0.35,0.04
L,40,53.00,24.90,20.00,19.94,0.08,0.00,545.67,-189.44,29.28,0.98,0.12
S,40,25.30,13.10,23.07,19.69,0.01,35.00,616.64,-111.51,17.49,0.40,0.03
L,40,52.80,24.90,20.00,20.30,0.03,0.00,536.67,-111.56,44.73,0.50,0.10
S,40,25.10,13.10,23.19,20.43,0.01,35.00,620.17,-117.89,18.45,0.41,0.03
L,40,52.90,24.90,20.00,20.38,-0.08,0.00,532.81,196.30,45.95,0.50,0.07
S,40,25.00,13.10,23.25,21.32,0.01,35.00,614.64,-121.97,18.80,0.41,0.03
L,40,53.00,24.90,20.00,20.42,-0.08,0.00,529.48,55.65,38.01,0.50,0.02
S,40,24.50,13.10,23.52,21.99,0.01,35.00,615.20,-123.40,19.35,0.43,0.03
L,40,52.00,24.90,20.00,20.22,-0.07,0.00,532.32,35.96,22.02,0.99,0.04
S,40,24.60,13.10,23.47,22.32,0.01,35.00,614.18,-125.17,19.81,0.42,0.03
L,40,53.50,24.90,20.00,19.94,-0.06,0.00,538.25,31.38,11.89,0.99,0.02
S,40,24.80,13.10,23.42,22.53,0.01,35.00,614.06,-126.03,20.85,0.42,0.03
L,40,54.60,24.90,20.00,19.88,0.00,0.00,540.15,-194.47,5.88,0.99,0.01
S,40,24.80,13.10,23.44,22.69,0.01,35.00,615.56,-127.05,21.01,0.42,0.04
L,40,52.00,24.90,20.00,19.87,0.09,0.00,541.21,-399.55,4.37,0.99,0.01
S,40,24.50,13.10,23.57,22.68,0.01,35.00,623.66,-126.06,21.47,0.43,0.04
L,40,52.10,24.90,20.00,19.92,0.08,0.00,540.67,-276.20,12.00,0.99,0.03
S,40,24.90,13.10,23.47,23.38,0.01,35.00,607.99,-130.84,21.55,0.42,0.04
L,40,50.30,24.90,20.00,19.87,0.03,0.00,542.30,-109.73,26.61,0.99,0.06
S,40,24.80,13.10,23.49,23.32,0.01,35.00,610.70,-135.27,21.48,0.42,0.04
L,40,50.40,24.90,20.00,20.27,-0.08,0.00,532.63,204.86,34.13,0.50,0.07
S,40,25.60,13.10,23.32,22.96,0.01,35.00,616.60,-140.05,22.24,0.42,0.04
L,40,50.10,24.90,20.00,20.31,-0.08,0.00,529.96,55.06,30.53,0.50,0.04
S,40,25.20,13.10,23.53,22.88,0.01,35.00,626.21,-146.86,22.58,0.43,0.04
L,40,49.00,24.90,20.00,19.97,-0.07,0.00,537.22,42.09,16.45,0.99,0.00
S,41,26.00,13.10,23.30,22.88,0.01,35.00,624.13,-144.36,23.25,0.42,0.04
L,40,48.50,24.90,20.00,19.39,-0.01,0.00,552.37,-152.58,4.68,0.99,0.00
S,40,26.00,13.10,23.39,23.33,0.01,35.00,617.25,-136.49,23.68,0.42,0.04
L,40,47.70,24.90,20.00,19.49,0.08,0.00,553.49,-377.53,4.91,0.99,0.01
S,41,25.80,13.10,23.64,23.29,0.01,35.00,625.13,-140.47,24.33,0.43,0.04
L,40,47.70,24.90,20.00,19.61,0.07,0.00,553.30,-252.65,14.72,0.99,0.03
S,40,26.00,13.10,23.50,22.04,0.01,35.00,656.16,-132.73,24.15,0.43,0.04
L,40,46.00,24.90,20.00,20.30,-0.07,0.00,537.57,250.78,27.00,0.99,0.06
S,40,26.20,13.10,23.35,22.81,0.01,35.00,640.57,-133.37,23.99,0.42,0.04
L,40,44.90,24.90,20.00,20.18,-0.07,0.00,538.83,69.79,26.80,0.99,0.06
S,40,26.60,13.10,22.52,23.52,0.00,35.00,603.57,-127.66,23.51,0.38,0.04
L,40,44.40,24.90,20.00,20.26,-0.01,0.00,535.79,-142.51,14.66,0.99,0.03
S,40,27.70,13.10,19.86,22.90,0.00,35.00,544.47,-127.42,23.19,0.24,0.04
L,40,44.50,24.90,20.00,20.06,0.08,0.00,539.51,-388.76,8.62,0.99,0.02
S,40,29.70,13.10,16.46,22.81,0.00,35.00,440.16,-127.02,22.94,0.07,0.04
L,40,43.10,24.90,20.00,19.72,0.00,0.00,547.95,7.16,13.73,0.99,0.02
S,40,33.20,13.10,16.44,20.26,0.00,35.00,469.38,-126.71,22.57,0.07,0.04
L,40,43.60,24.90,20.00,20.07,-0.01,0.00,540.40,-40.27,23.02,0.99,0.04
S,40,43.00,13.10,16.42,19.80,-0.00,35.00,458.66,-113.19,21.99,0.07,0.04
L,40,45.20,24.90,20.00,20.10,-0.01,0.00,539.20,-77.90,21.61,0.99,0.04
S,40,46.10,13.10,16.39,19.11,-0.01,35.00,456.39,-107.19,21.35,0.07,0.04
L,40,45.70,24.90,20.00,19.85,-0.00,0.00,545.22,-89.02,17.32,0.99,0.03
S,40,47.30,13.10,16.36,18.34,-0.01,35.00,459.74,-106.68,20.58,0.07,0.04
L,40,44.10,24.90,20.00,19.89,0.08,0.00,545.12,-394.87,16.67,0.99,0.03
S,40,48.00,13.10,16.32,17.72,-0.01,35.00,463.54,-93.73,19.52,0.07,0.04
L,40,44.50,24.90,20.00,20.04,-0.00,0.00,541.85,29.07,23.17,0.99,0.09
S,40,48.80,13.10,16.30,17.34,-0.01,35.00,464.74,-90.12,18.66,0.06,0.04
L,40,49.60,24.90,20.00,20.91,-0.06,0.00,518.88,126.00,28.99,0.98,0.05
S,40,49.90,13.10,16.26,17.04,-0.01,35.00,465.36,-89.23,17.39,0.06,0.04
L,40,49.10,24.90,20.00,20.48,-0.01,0.00,524.68,-143.57,22.64,0.99,0.01
S,40,49.20,13.10,16.25,16.88,-0.01,35.00,464.81,-86.49,16.87,0.06,0.04
L,40,52.70,24.90,20.00,19.69,0.00,0.00,542.61,-112.30,14.47,0.99,0.02
S,40,51.70,13.10,16.24,17.08,-0.01,35.00,455.44,-84.73,15.64,0.06,0.03
L,40,54.10,24.90,20.00,19.72,0.08,0.00,543.62,-379.48,14.86,0.99,0.03
S,40,50.30,13.10,16.25,16.71,-0.01,35.00,460.68,-83.80,15.04,0.06,0.03
L,40,54.80,24.90,20.00,19.73,-0.00,0.00,545.07,14.04,19.22,0.99,0.07
S,40,50.00,13.10,16.26,16.78,-0.01,35.00,456.53,-80.10,14.45,0.06,0.03
L,40,59.30,24.90,20.00,20.39,-0.01,0.00,529.43,-50.25,27.88,0.99,0.04
S,40,49.80,13.10,16.27,16.81,-0.01,35.00,452.85,-87.47,14.11,0.06,0.03
L,40,53.30,24.90,20.00,20.43,0.07,0.00,525.96,-369.24,24.52,0.99,0.03
S,40,49.30,13.10,16.27,16.27,-0.01,35.00,463.73,-86.30,14.18,0.06,0.03
L,40,58.60,24.90,20.00,20.06,-0.01,0.00,533.28,33.44,23.65,0.99,0.04
S,40,46.50,13.10,16.26,16.67,-0.01,35.00,453.10,-89.46,14.33,0.06,0.03
L,40,49.10,24.90,20.00,20.23,-0.07,0.00,528.44,126.67,29.59,0.98,0.06
S,40,46.70,13.10,16.26,16.68,-0.01,35.00,450.56,-75.75,14.48,0.06,0.03
L,40,50.00,24.90,20.00,20.09,-0.07,0.00,530.86,40.15,23.20,0.99,0.04
S,40,47.30,13.10,16.26,16.53,-0.00,35.00,451.82,-106.01,14.63,0.06,0.03
L,40,52.30,24.90,20.00,20.04,-0.00,0.00,531.62,-178.62,13.35,0.99,0.02
S,40,45.70,13.10,16.26,16.46,-0.00,35.00,452.24,-101.54,14.46,0.06,0.03
L,40,48.50,24.90,20.00,19.91,0.08,0.00,534.62,-393.49,8.77,0.99,0.02
